text,label
Foglald össze ezt a pályázati felhívást,summary
Készíts rövid vezetői összefoglalót a dokumentumról,summary
Mi a felhívás lényege,summary
Miről szól ez a pályázat,summary
Milyen indikátorok vannak a felhívásban,indicator_analysis
Elemezd az indikátorokat,indicator_analysis
Milyen eredményességi mutatók szerepelnek,indicator_analysis
Indikátorértékelést kérek,indicator_analysis
Mekkora a támogatás összege,financial_info
Van önerő kötelezettség,financial_info
Mennyi az előleg mértéke,financial_info
Mutasd a pénzügyi feltételeket,financial_info
Kik pályázhatnak,eligibility
Ki lehet kedvezményezett,eligibility
Milyen szervezetek jogosultak,eligibility
Konzorciumi benyújtás lehetséges,eligibility
Milyen kockázatok vannak,risk_analysis
Készíts kockázati elemzést,risk_analysis
Mi a fő ellenőrzési kockázat,risk_analysis
Kockázati pontszám magyarázata,risk_analysis
